id,title,value,region,date,summary
AQ-035,PM2.5 daily mean (µg/m³),4.6,Queens County NY,2026-02-08,Synthetic PM2.5 reading reported for Queens County NY.
AQ-036,PM2.5 daily mean (µg/m³),4.7,New York County NY,2026-02-08,Synthetic PM2.5 reading reported for New York County NY.
AQ-037,PM2.5 daily mean (µg/m³),4.9,Kings County NY,2026-02-08,Synthetic PM2.5 reading reported for Kings County NY.
AQ-038,PM2.5 daily mean (µg/m³),4.2,Suffolk County MA,2026-02-08,Synthetic PM2.5 reading reported for Suffolk County MA.
AQ-039,PM2.5 daily mean (µg/m³),4.0,Middlesex County MA,2026-02-08,Synthetic PM2.5 reading reported for Middlesex County MA.
AQ-040,PM2.5 daily mean (µg/m³),3.8,Philadelphia County PA,2026-02-08,Synthetic PM2.5 reading reported for Philadelphia County PA.
AQ-041,PM2.5 daily mean (µg/m³),8.2,Los Angeles County CA,2026-02-15,Synthetic PM2.5 reading reported for Los Angeles County CA.
AQ-042,PM2.5 daily mean (µg/m³),6.4,Orange County CA,2026-02-15,Synthetic PM2.5 reading reported for Orange County CA.
AQ-043,PM2.5 daily mean (µg/m³),5.6,San Diego County CA,2026-02-15,Synthetic PM2.5 reading reported for San Diego County CA.
AQ-044,PM2.5 daily mean (µg/m³),5.1,Maricopa County AZ,2026-02-15,Synthetic PM2.5 reading reported for Maricopa County AZ.
AQ-045,PM2.5 daily mean (µg/m³),4.0,Clark County NV,2026-02-15,Synthetic PM2.5 reading reported for Clark County NV.
AQ-046,PM2.5 daily mean (µg/m³),4.5,Harris County TX,2026-02-15,Synthetic PM2.5 reading reported for Harris County TX.
AQ-047,PM2.5 daily mean (µg/m³),4.3,Dallas County TX,2026-02-15,Synthetic PM2.5 reading reported for Dallas County TX.
AQ-048,PM2.5 daily mean (µg/m³),3.7,Travis County TX,2026-02-15,Synthetic PM2.5 reading reported for Travis County TX.
AQ-049,PM2.5 daily mean (µg/m³),6.0,Cook County IL,2026-02-15,Synthetic PM2.5 reading reported for Cook County IL.
AQ-050,PM2.5 daily mean (µg/m³),5.3,Wayne County MI,2026-02-15,Synthetic PM2.5 reading reported for Wayne County MI.
