id,title,value,region,date,summary
HC-040,Primary care clinics per 10k residents,11.4,South Carolina,2026-01-01,Synthetic estimate of clinic availability across South Carolina.
HC-041,Primary care clinics per 10k residents,10.9,South Dakota,2026-01-01,Synthetic estimate of clinic availability across South Dakota.
HC-042,Primary care clinics per 10k residents,12.5,Tennessee,2026-01-01,Synthetic estimate of clinic availability across Tennessee.
HC-043,Primary care clinics per 10k residents,13.1,Texas,2026-01-01,Synthetic estimate of clinic availability across Texas.
HC-044,Primary care clinics per 10k residents,11.6,Utah,2026-01-01,Synthetic estimate of clinic availability across Utah.
HC-045,Primary care clinics per 10k residents,14.0,Vermont,2026-01-01,Synthetic estimate of clinic availability across Vermont.
HC-046,Primary care clinics per 10k residents,13.2,Virginia,2026-01-01,Synthetic estimate of clinic availability across Virginia.
HC-047,Primary care clinics per 10k residents,12.9,Washington,2026-01-01,Synthetic estimate of clinic availability across Washington.
HC-048,Primary care clinics per 10k residents,10.8,West Virginia,2026-01-01,Synthetic estimate of clinic availability across West Virginia.
HC-049,Primary care clinics per 10k residents,12.0,Wisconsin,2026-01-01,Synthetic estimate of clinic availability across Wisconsin.
HC-050,Primary care clinics per 10k residents,11.5,Wyoming,2026-01-01,Synthetic estimate of clinic availability across Wyoming.
