id,title,value,region,date,summary
TR-018,Monthly transit ridership (millions),0.5,Seattle Metro,2025-10-01,Synthetic monthly ridership estimate for Seattle Metro.
TR-019,Monthly transit ridership (millions),0.4,Denver Metro,2025-10-01,Synthetic monthly ridership estimate for Denver Metro.
TR-020,Monthly transit ridership (millions),0.3,Miami Metro,2025-10-01,Synthetic monthly ridership estimate for Miami Metro.
TR-021,Monthly transit ridership (millions),3.0,New York Metro,2025-11-01,Synthetic monthly ridership estimate for New York Metro.
TR-022,Monthly transit ridership (millions),1.3,Los Angeles Metro,2025-11-01,Synthetic monthly ridership estimate for Los Angeles Metro.
TR-023,Monthly transit ridership (millions),1.1,Chicago Metro,2025-11-01,Synthetic monthly ridership estimate for Chicago Metro.
TR-024,Monthly transit ridership (millions),0.9,Washington DC Metro,2025-11-01,Synthetic monthly ridership estimate for Washington DC Metro.
TR-025,Monthly transit ridership (millions),0.8,Boston Metro,2025-11-01,Synthetic monthly ridership estimate for Boston Metro.
TR-026,Monthly transit ridership (millions),0.7,San Francisco Bay Area,2025-11-01,Synthetic monthly ridership estimate for San Francisco Bay Area.
TR-027,Monthly transit ridership (millions),0.6,Philadelphia Metro,2025-11-01,Synthetic monthly ridership estimate for Philadelphia Metro.
TR-028,Monthly transit ridership (millions),0.5,Seattle Metro,2025-11-01,Synthetic monthly ridership estimate for Seattle Metro.
TR-029,Monthly transit ridership (millions),0.4,Denver Metro,2025-11-01,Synthetic monthly ridership estimate for Denver Metro.
TR-030,Monthly transit ridership (millions),0.3,Miami Metro,2025-11-01,Synthetic monthly ridership estimate for Miami Metro.
TR-031,Monthly transit ridership (millions),3.1,New York Metro,2025-12-01,Synthetic monthly ridership estimate for New York Metro.
TR-032,Monthly transit ridership (millions),1.4,Los Angeles Metro,2025-12-01,Synthetic monthly ridership estimate for Los Angeles Metro.
TR-033,Monthly transit ridership (millions),1.2,Chicago Metro,2025-12-01,Synthetic monthly ridership estimate for Chicago Metro.
TR-034,Monthly transit ridership (millions),1.0,Washington DC Metro,2025-12-01,Synthetic monthly ridership estimate for Washington DC Metro.
TR-035,Monthly transit ridership (millions),0.8,Boston Metro,2025-12-01,Synthetic monthly ridership estimate for Boston Metro.
TR-036,Monthly transit ridership (millions),0.7,San Francisco Bay Area,2025-12-01,Synthetic monthly ridership estimate for San Francisco Bay Area.
TR-037,Monthly transit ridership (millions),0.6,Philadelphia Metro,2025-12-01,Synthetic monthly ridership estimate for Philadelphia Metro.
TR-038,Monthly transit ridership (millions),0.5,Seattle Metro,2025-12-01,Synthetic monthly ridership estimate for Seattle Metro.
TR-039,Monthly transit ridership (millions),0.4,Denver Metro,2025-12-01,Synthetic monthly ridership estimate for Denver Metro.
TR-040,Monthly transit ridership (millions),0.3,Miami Metro,2025-12-01,Synthetic monthly ridership estimate for Miami Metro.
TR-041,Monthly transit ridership (millions),3.3,New York Metro,2026-01-01,Synthetic monthly ridership estimate for New York Metro.
TR-042,Monthly transit ridership (millions),1.5,Los Angeles Metro,2026-01-01,Synthetic monthly ridership estimate for Los Angeles Metro.
TR-043,Monthly transit ridership (millions),1.2,Chicago Metro,2026-01-01,Synthetic monthly ridership estimate for Chicago Metro.
TR-044,Monthly transit ridership (millions),1.0,Washington DC Metro,2026-01-01,Synthetic monthly ridership estimate for Washington DC Metro.
TR-045,Monthly transit ridership (millions),0.9,Boston Metro,2026-01-01,Synthetic monthly ridership estimate for Boston Metro.
TR-046,Monthly transit ridership (millions),0.8,San Francisco Bay Area,2026-01-01,Synthetic monthly ridership estimate for San Francisco Bay Area.
TR-047,Monthly transit ridership (millions),0.7,Philadelphia Metro,2026-01-01,Synthetic monthly ridership estimate for Philadelphia Metro.
TR-048,Monthly transit ridership (millions),0.6,Seattle Metro,2026-01-01,Synthetic monthly ridership estimate for Seattle Metro.
TR-049,Monthly transit ridership (millions),0.5,Denver Metro,2026-01-01,Synthetic monthly ridership estimate for Denver Metro.
TR-050,Monthly transit ridership (millions),0.4,Miami Metro,2026-01-01,Synthetic monthly ridership estimate for Miami Metro.
